imdb_id,collection
tt2806788,"$180,331"
tt1949548,"$8,036,853"
tt5882970,"$4,650,456"
tt6108090,"$130,765,691"
tt3666258,–
tt1947973,"$442,971"
tt1954598,"$328,870"
tt7471004,"$7,699"
tt5690142,"$20,642,399"
tt3142232,"$90,785"
tt1877691,–
tt2691010,–
tt3524410,–
tt2246724,"$6,571,685"
tt5325684,"$78,134"
tt10324144,"$734,514"
tt6296236,"$7,674"
tt5021968,–
tt2346744,–
tt2302416,–
tt4651394,–
tt4384270,–
tt5717110,"$650,387"
tt5997928,"$81,540"
tt5460276,"$21,893,244"
tt4642936,–
tt6752836,–
tt3814100,–
tt3495030,"$4,219,952"
tt1980970,–
tt2104937,–
tt3309844,–
tt1706317,"$4,305,016"
tt5933706,–
tt7695014,"$1,401,894"
tt2929690,–
tt2609218,"$6,534,865"
tt5943306,"$28,940"
tt9248972,"$5,667,057"
tt2243336,–
tt2963974,–
tt3398052,"$231,688"
tt6926486,"$8,808"
tt2976176,"$24,539"
tt8291224,"$39,346,577"
tt2362778,–
tt7617988,–
tt5156746,"$5,522,478"
tt2998196,–
tt2122340,"$689,861"
tt2171454,–
tt2063745,–
tt2402131,–
tt5743888,–
tt4535650,"$31,994,323"
tt4900716,"$17,412,627"
tt2912578,"$112,110"
tt2338151,"$100,370,104"
tt8504014,"$13,058,135"
tt5240748,–
tt4760900,–
tt2438764,–
tt3447364,"$4,552,665"
tt6352548,"$2,557,576"
tt6080746,"$181,430"
tt5632164,"$1,234,745"
tt3859980,"$1,630,231"
tt2357926,"$80,108"
tt7485048,"$24,701,637"
tt4635372,"$651,748"
tt2759338,"$35,464"
tt2208248,–
tt1841542,"$832,150"
tt5313980,"$9,995"
tt9319812,–
tt4434004,"$359,891"
tt6405126,"$2,740,865"
tt4271730,–
tt1821480,"$459,234"
tt4088588,–
tt4994210,–
tt1395025,"$9,520,886"
tt6143422,–
tt6041458,"$902,643"
tt6467738,–
tt3036740,"$12,278,365"
tt2016894,"$5,543,117"
tt8130968,"$18,502,646"
tt1954206,"$341,767"
tt2350496,"$11,621,785"
tt3590416,"$17,410"
tt5638474,"$1,855,282"
tt7549484,"$1,955,266"
tt2190820,–
tt1867070,–
tt4857886,–
tt2072227,–
tt2615584,"$669,070"
tt4007558,"$14,120,808"
tt6078866,–
