imdb_id,director
tt2806788,Mrighdeep Lamba
tt1949548,Madhur Bhandarkar
tt5882970,Kabir Khan
tt6108090,Advait Chandan
tt3666258,Manu Warrier
tt1947973,Chandrakant Singh
tt1954598,Maneesh Sharma
tt7471004,Milind Rau
tt5690142,Ravi Udyawar
tt3142232,Sabbir Khan
tt1877691,Sahil Sangha
tt2691010,Hemant Madhukar
tt3524410,Janaki Vishwanathan
tt2246724,Raj Kumar Gupta
tt5325684,Vishal Pandya
tt10324144,Anubhav Sinha
tt6296236,Amit Roy
tt5021968,Sharique Minhaj
tt2346744,Akashaditya Lama
tt2302416,Dipesh Jain
tt4651394,Binod Pradhan
tt4384270,Sunil Prem Vyas
tt5717110,Md. Shahnause
tt5997928,Shubhashish Bhutiani
tt5460276,Sanjay Gupta
tt4642936,Param Gill
tt6752836,Gulbahar Singh
tt3814100,Saahil Prem
tt3495030,Sharat Katariya
tt1980970,Rakesh Ranjan Kumar
tt2104937,Tanveer Khan
tt3309844,Amit Singh
tt1706317,Priyadarshan
tt5933706,Rajiv S. Ruia
tt7695014,Tigmanshu Dhulia
tt2929690,Shonali Bose
tt2609218,Bhushan Patel
tt5943306,Sohail Khan
tt9248972,Jagan Shakti
tt2243336,Manish Manikpuri
tt2963974,Agneya Singh
tt3398052,Habib Faisal
tt6926486,Ashim Ahluwalia
tt2976176,Nagesh Kukunoor
tt8291224,Aditya Dhar
tt2362778,Tigmanshu Dhulia
tt7617988,Onir
tt5156746,Abhinay Deo
tt2998196,Aman Sachdeva
tt2122340,Rajesh Mapuskar
tt2171454,Anand Kumar
tt2063745,Vijay Raaz
tt2402131,Sanjay M. Khanduri
tt5743888,Deepak S. Shivdasani
tt4535650,Rohit Shetty
tt4900716,Shakun Batra
tt2912578,Sohail Tatari
tt2338151,Rajkumar Hirani
tt8504014,Raj Mehta
tt5240748,Qaushiq Mukherjee
tt4760900,Biswajeet Bora
tt2438764,Vishwas Patil
tt3447364,Dibakar Banerjee
tt6352548,Shreyas Talpade
tt6080746,Tigmanshu Dhulia
tt5632164,Ram Gopal Varma
tt3859980,Ashutosh Gowariker
tt2357926,Prabhu Deva
tt7485048,Vikas Bahl
tt4635372,Neeraj Ghaywan
tt2759338,Manish Vatssalya
tt2208248,Debaloy Dey
tt1841542,Vikas Bahl
tt5313980,Abhishek Sharma
tt9319812,Abhishek Dixit
tt4434004,Abhishek Chaubey
tt6405126,Hansal Mehta
tt4271730,Bhushan Patel
tt1821480,Sujoy Ghosh
tt4088588,Nagesh Kukunoor
tt4994210,Vijay Pal
tt1395025,Sriram Raghavan
tt6143422,Nila Madhab Panda
tt6041458,A.L. Vijay
tt6467738,Aparnaa Singh
tt3036740,Sajid Khan
tt2016894,Kabir Khan
tt8130968,Sujoy Ghosh
tt1954206,Milan Luthria
tt2350496,Ritesh Batra
tt3590416,Manoj Shidheshwari Tiwari
tt5638474,Vishal Pandya
tt7549484,Rajiv Dhingra
tt2190820,Manish Srivastav
tt1867070,Mrighdeep Lamba
tt4857886,Deepak Tijori
tt2072227,Dibakar Banerjee
tt2615584,Rajkumar Santoshi
tt4007558,Vikas Bahl
tt6078866,Ivan Ayr
